Time [s],delta GENCLS 1,delta GENCLS 2,omega GENCLS 1,omega GENCLS 2,a Bus 1,a Bus 2,a Bus 3,v Bus 1,v Bus 2,v Bus 3,q PV 1,q Slack 1,p Slack 1,Id GENCLS 1,Id GENCLS 2,Iq GENCLS 1,Iq GENCLS 2,vd GENCLS 1,vd GENCLS 2,vq GENCLS 1,vq GENCLS 2,tm GENCLS 1,tm GENCLS 2,te GENCLS 1,te GENCLS 2,vf GENCLS 1,vf GENCLS 2,XadIfd GENCLS 1,XadIfd GENCLS 2,Pe GENCLS 1,Pe GENCLS 2,Qe GENCLS 1,Qe GENCLS 2,psid GENCLS 1,psid GENCLS 2,psiq GENCLS 1,psiq GENCLS 2
0.000000000000000000e+00,4.904876214897275766e-01,-8.999999831790333598e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.046926631776700201e-01,1.449884697425472511e-22,1.779300791599603415e-01,1.050000000000001821e+00,1.000000000000001110e+00,1.016991034346357070e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,4.280740314946279157e-01,-4.674699280166343292e-03,7.916908831799664981e-01,-8.999999878538784692e-01,1.939642620983514365e-01,-9.000000132341399556e-10,1.031929195743896743e+00,1.000000000000001110e+00,9.000000081002184071e-01,-8.999999878496715011e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,9.000000000000000222e-01,-8.999999878496722783e-01,2.881823530731045802e-01,-4.674700090166349596e-03,1.031929203660805650e+00,1.000000000000000222e+00,-1.939642663790917543e-01,9.000000179088392079e-10
3.333333333333333287e-02,4.904876214897275766e-01,-8.999999831790333598e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.046926631776700201e-01,1.449884697425472511e-22,1.779300791599603415e-01,1.050000000000001821e+00,1.000000000000001110e+00,1.016991034346357070e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,4.280740314946279157e-01,-4.674699280166343292e-03,7.916908831799664981e-01,-8.999999878538784692e-01,1.939642620983514365e-01,-9.000000132341399556e-10,1.031929195743896743e+00,1.000000000000001110e+00,9.000000081002184071e-01,-8.999999878496715011e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,9.000000000000000222e-01,-8.999999878496722783e-01,2.881823530731045802e-01,-4.674700090166349596e-03,1.031929203660805650e+00,1.000000000000000222e+00,-1.939642663790917543e-01,9.000000179088392079e-10
6.666666666666666574e-02,4.904876214897275766e-01,-8.999999831790333598e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.046926631776700201e-01,1.449884697425472511e-22,1.779300791599603415e-01,1.050000000000001821e+00,1.000000000000001110e+00,1.016991034346357070e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,4.280740314946279157e-01,-4.674699280166343292e-03,7.916908831799664981e-01,-8.999999878538784692e-01,1.939642620983514365e-01,-9.000000132341399556e-10,1.031929195743896743e+00,1.000000000000001110e+00,9.000000081002184071e-01,-8.999999878496715011e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,9.000000000000000222e-01,-8.999999878496722783e-01,2.881823530731045802e-01,-4.674700090166349596e-03,1.031929203660805650e+00,1.000000000000000222e+00,-1.939642663790917543e-01,9.000000179088392079e-10
9.990000000000000269e-02,4.904876214897275766e-01,-8.999999831790333598e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.046926631776700201e-01,1.449884697425472511e-22,1.779300791599603415e-01,1.050000000000001821e+00,1.000000000000001110e+00,1.016991034346357070e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,4.280740314946279157e-01,-4.674699280166343292e-03,7.916908831799664981e-01,-8.999999878538784692e-01,1.939642620983514365e-01,-9.000000132341399556e-10,1.031929195743896743e+00,1.000000000000001110e+00,9.000000081002184071e-01,-8.999999878496715011e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,9.000000000000000222e-01,-8.999999878496722783e-01,2.881823530731045802e-01,-4.674700090166349596e-03,1.031929203660805650e+00,1.000000000000000222e+00,-1.939642663790917543e-01,9.000000179088392079e-10
1.000000000000000056e-01,4.904876214897275766e-01,-8.999999831790333598e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.046926631776700201e-01,1.449884697425472511e-22,1.779300791599603415e-01,1.050000000000001821e+00,1.000000000000001110e+00,1.016991034346357070e+00,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,4.280740314946279157e-01,-4.674699280166343292e-03,7.916908831799664981e-01,-8.999999878538784692e-01,1.939642620983514365e-01,-9.000000132341399556e-10,1.031929195743896743e+00,1.000000000000001110e+00,9.000000081002184071e-01,-8.999999878496715011e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,9.000000000000000222e-01,-8.999999878496722783e-01,2.881823530731045802e-01,-4.674700090166349596e-03,1.031929203660805650e+00,1.000000000000000222e+00,-1.939642663790917543e-01,9.000000179088392079e-10
1.001000000000000084e-01,4.904877687693671717e-01,-8.999999831790333598e-10,1.000007818483648503e+00,1.000000000000000000e+00,4.901499593400318600e-01,-8.855875185056017067e-10,1.779301657753282195e-01,4.321507667349037130e-01,9.999999950363228640e-01,7.653884693032709250e-04,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.876149384871506065e+00,4.996233326965300314e+00,5.959730744130923002e-04,-6.772163097816004526e-04,1.459846417373589081e-04,-1.442641708272097105e-11,4.321507420775106967e-01,9.999999950363228640e-01,9.000000081002184071e-01,-8.999999878496715011e-01,6.775065662558181967e-04,-6.772163097784905271e-04,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,6.774238438994255145e-04,-6.772163098034529810e-04,1.242930003999123789e+00,4.996233301979597918e+00,4.321507420834704294e-01,9.999999950363228640e-01,-1.460134032312076331e-04,1.442149714570379865e-11
1.317666666666666708e-01,5.200562357173525996e-01,-3.718218628071137964e-09,1.004945831699952663e+00,9.999999995278595621e-01,5.196998708066919992e-01,-3.717498914006117947e-09,1.884871036650127285e-01,4.321463323585131855e-01,9.999999950363228640e-01,7.626936455036749775e-04,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.876167495724902157e+00,4.996253922845141915e+00,6.286961123296514256e-04,-7.144160964038667131e-04,1.540017858458073369e-04,-1.442641708272097105e-11,4.321463049181014648e-01,9.999999950363228640e-01,9.000000081002184071e-01,-8.999999878496715011e-01,7.147063559915200733e-04,-7.144160964005234673e-04,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,7.146236325929328486e-04,-7.144160964254860297e-04,1.242925058782816672e+00,4.996253897859232573e+00,4.321463049243884358e-01,9.999999950363228640e-01,-1.540305475207645808e-04,1.442149714570379865e-11
1.650999999999999968e-01,6.146800454240143319e-01,-1.274008112076850966e-08,1.010114016177394047e+00,9.999999990362664626e-01,6.142664634732122320e-01,-1.273924363600103175e-08,2.220537436590879210e-01,4.321305889999830230e-01,9.999999950363228640e-01,7.530563236231906316e-04,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.876231793174237161e+00,4.996327016692043266e+00,7.295925565859686561e-04,-8.291159039009150062e-04,1.787214140456305843e-04,-1.442641708272097105e-11,4.321305520420055113e-01,9.999999950363228640e-01,9.000000081002184071e-01,-8.999999878496715011e-01,8.294061745409358295e-04,-8.291159038970394171e-04,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,8.293234474423320747e-04,-8.291159039220026301e-04,1.242907502191337166e+00,4.996326991705403842e+00,4.321305520493013974e-01,9.999999950363228640e-01,-1.787501763635623256e-04,1.442149714570379865e-11
1.984333333333333227e-01,7.740562467320819540e-01,-2.790483696801148482e-08,1.015251494045880110e+00,9.999999985501877298e-01,7.735548915063743536e-01,-2.790381563426357496e-08,2.776794323729189773e-01,4.320990353807789286e-01,9.999999950363228640e-01,7.333606396102214072e-04,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.876360654256890470e+00,4.996473506943291731e+00,8.843423018059461040e-04,-1.005036528192471265e-03,2.166351003359142345e-04,-1.442641708272097105e-11,4.320989810752079996e-01,9.999999950363228640e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.005326820983224725e-03,-1.005036528187773417e-03,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.005244086469270519e-03,-1.005036528212738039e-03,1.242872316329637794e+00,4.996473481955186813e+00,4.320989810840513701e-01,9.999999950363228640e-01,-2.166638639424567955e-04,1.442149714570379865e-11
1.999000000000000221e-01,7.825514054952720233e-01,-2.871234552442783321e-08,1.015476835715758641e+00,9.999999985501877298e-01,7.820457095722258556e-01,-2.871132675647987375e-08,2.806066078480689008e-01,4.320971880599644432e-01,9.999999950363228640e-01,7.321911754996772740e-04,2.881823530731045246e-01,-4.674700090166349596e-03,-8.999999878496722783e-01,2.876368198195339954e+00,4.996482082949237125e+00,8.919940460582552032e-04,-1.013735085936054480e-03,2.185097776022905868e-04,-1.442641708272097105e-11,4.320971328102113374e-01,9.999999950363228640e-01,9.000000081002184071e-01,-8.999999878496715011e-01,1.014025380023589199e-03,-1.013735085931314998e-03,1.136807341376989466e+00,9.999999999953255170e-01,1.136807341376989466e+00,9.999999999953255170e-01,1.013942645075516756e-03,-1.013735085956279838e-03,1.242870256437260013e+00,4.996482057961046941e+00,4.320971328191312577e-01,9.999999950363228640e-01,-2.185385412842725313e-04,1.442149714570379865e-11
